index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
14958,MUSC 102A,Music 102A,M,12:00 pm,12:50 pm,SMB,B00431,"Depinna, N.; Uhm, S.","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14959,MUSC 102A,Music 102A,M,11:00 am,11:50 am,SMB,B00431,"Depinna, N.; Chiracharasporn, N","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14960,MUSC 102A,Music 102A,M,12:00 pm,12:50 pm,SMB,01345,"Depinna, N.; Chiracharasporn, N","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14961,MUSC 102A,Music 102A,W,11:00 am,12:50 pm,SMB,01354,"Depinna, N.; Chiracharasporn, N","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14962,MUSC 102A,Music 102A,M,11:00 am,12:50 pm,SMB,B00648,"Depinna, N.","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14963,MUSC 102A,Music 102A,W,11:00 am,12:50 pm,SMB,B00431,"Depinna, N.","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C']}, 'corequisites': None}"
14964,MUSC 106A,Music 106A,TR,01:00 pm,02:20 pm,SMB,B00648,"Rhie, K.K.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 102C', {'type': 'OR', 'conditions': ['Music 111C', 'Music 120C']}]}, 'corequisites': None}"
14965,MUSC C109A,Music C109A,T,02:00 pm,02:50 pm,SMB,B00686,"Davis, J.D.",
14966,MUSC C109A,Music C109A,T,02:00 pm,02:50 pm,SMB,B00674,"Davis, J.D.",
14967,MUSC C109B,Music C109B,M,07:00 pm,07:50 pm,SMB,B00674,"Arano, S.M.",
14968,MUSC 110B,Music 110B,TR,09:00 am,10:50 am,SMB,B00425,"Chen-Hafteck, L.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A', 'Music 20B', 'Music 20C', 'Music 110A', 'Music 120A', 'Music 120B', 'Music 120C']}, 'corequisites': None}"
14969,MUSC 111A,Music 111A,MW,09:00 am,10:50 am,SMB,01325,"Carter, R.D.; Lichtle, J.","{'prerequisites': {'type': 'AND', 'conditions': ['Music M6A', 'Music M6B', 'Music M6C', 'Music 20A', 'Music 20B', {'type': 'OR', 'conditions': ['Music 20C']}, 'Music 21A', 'Music 21B', 'Music 21C']}, 'corequisites': None}"
14970,MUSC 114A,Music 114A,F,01:00 pm,02:50 pm,SMB,B00425,"Gamboa-Kroesen, J.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A']}, 'corequisites': None}"
14971,MUSC 114C,Music 114C,W,01:00 pm,02:50 pm,SMB,01343,"Hearn, K.N.",
14972,MUSC 115A,Music 115A,TR,01:00 pm,02:50 pm,SMB,B00425,"Senchuk, E.R.",
14973,MUSC 116,Music 116,MW,01:00 pm,02:50 pm,OSTIN,00110A,"Milburn, D.S.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20A', 'Music 20B', 'Music 20C', 'Music 120A']}, 'corequisites': None}"
14974,MUSC 120A,Music 120A,MW,09:00 am,10:50 am,SMB,01440,"Lefkowitz, D.S.; Moss, M.K.; Smith, M.F.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 20C']}, 'corequisites': None}"
14977,MUSC M131,Music M131,MW,03:00 pm,04:50 pm,SMB,01344,"Miranda, A.; Duran Zarate, C.A.",
14980,MUSC M134,Music M134,TR,01:00 pm,02:50 pm,SMB,01439,"Bilal, M.",
14981,MUSC C158D,Music C158D,F,01:00 pm,02:50 pm,SMB,01345,"Yates, L.T.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 74C']}, 'corequisites': None}"
14982,MUSC 160A,Music 160A,VAR,12:00 am,12:00 am,,,"Smolen, B.M.",
14983,MUSC 160B,Music 160B,VAR,12:00 am,12:00 am,,,"Davis, J.D.",
14984,MUSC 160C,Music 160C,VAR,12:00 am,12:00 am,,,"Steinmetz, J.A.",
14985,MUSC 160D,Music 160D,VAR,12:00 am,12:00 am,,,"Ranz, J.H.",
14986,MUSC 160D,Music 160D,VAR,12:00 am,12:00 am,,,"Allakhverdyan, B.V",
14987,MUSC 160E,Music 160E,VAR,12:00 am,12:00 am,,,"Berry Baker, J.N.",
14988,MUSC 160F,Music 160F,VAR,12:00 am,12:00 am,,,"Sanchez, A.",
14989,MUSC 160G,Music 160G,VAR,12:00 am,12:00 am,,,"Washburn, D.W.",
14990,MUSC 160H,Music 160H,VAR,12:00 am,12:00 am,,,"Miller, J.T.",
14991,MUSC 160I,Music 160I,VAR,12:00 am,12:00 am,,,"Foard, A.D.",
14992,MUSC 160J,Music 160J,VAR,12:00 am,12:00 am,,,"Dimond, T.A.",
14993,MUSC 160J,Music 160J,VAR,12:00 am,12:00 am,,,"Goodall, G.S.",
14994,MUSC 160K,Music 160K,VAR,12:00 am,12:00 am,,,"Pogossian, M.",
