index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
10615,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Xie, Y.",
10616,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Yang, J.",
10617,MAT SCI 598,Materials Science and Engineering 598,UNSCHED,12:00 am,12:00 am,,,"Yang, Y.",
10618,MAT SCI 598,Materials Science and Engineering 598,,,,,,"Balandin, A.A.",
10619,MAT SCI 598,Materials Science and Engineering 598,,,,,,"Schwalbe Koda, D.",
10620,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Banerjee, A.S.",
10621,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Carman, G.P.",
10622,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Chang, J.P.",
10623,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Chen, Y.",
10624,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Dunn, B.S.",
10625,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Ghoniem, N.M.",
10626,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Goorsky, M.S.",
10627,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Gupta, V.",
10628,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"He, X.",
10629,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Huang, Y.",
10630,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Iyer, S.S.",
10631,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,The Staff,
10632,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Kaner, R.B.",
10633,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Kodambaka, S.",
10634,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Li, X.",
10635,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Marian, J.",
10636,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Mosleh, A.",
10637,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Pei, Q.",
10638,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Raman, A.P.",
10639,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Sant, G.",
10640,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Streit, D.",
10641,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Tolbert, S.H.",
10642,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Wang, K.L.",
10643,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Wang, Y.",
10644,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Weiss, P.S.",
10645,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Wu, B.M.",
10646,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Xie, Y.",
10647,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Yang, J.",
10648,MAT SCI 599,Materials Science and Engineering 599,UNSCHED,12:00 am,12:00 am,,,"Yang, Y.",
10649,MAT SCI 599,Materials Science and Engineering 599,,,,,,"Balandin, A.A.",
10650,MAT SCI 599,Materials Science and Engineering 599,,,,,,"Schwalbe Koda, D.",
10651,MATH 3C,Mathematics 3C,MWF,12:00 pm,12:50 pm,MS,05200,"Greene, M.P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 3B']}, 'corequisites': None}"
10654,MATH 19,Mathematics 19,F,04:00 pm,04:50 pm,ONLINE,00000RE,"Vese, L.A.",
10655,MATH 31B,Mathematics 31B,MWF,09:00 am,09:50 am,MS,04000A,"Arant, T.J.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10662,MATH 31B,Mathematics 31B,MWF,11:00 am,11:50 am,MS,04000A,"Johnson, C.L.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10669,MATH 31B,Mathematics 31B,MWF,12:00 pm,12:50 pm,MS,04000A,"Keranen, J.P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10676,MATH 32A,Mathematics 32A,MWF,10:00 am,10:50 am,MS,04000A,"Ebert, M.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10683,MATH 32A,Mathematics 32A,MWF,12:00 pm,12:50 pm,BUNCHE,02209A,"Li, L.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10690,MATH 32A,Mathematics 32A,MWF,01:00 pm,01:50 pm,MS,04000A,"Kan, K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10697,MATH 32A,Mathematics 32A,MWF,02:00 pm,02:50 pm,MS,04000A,"Shin, B.Y.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A']}, 'corequisites': None}"
10704,MATH 32B,Mathematics 32B,MWF,09:00 am,09:50 am,BUNCHE,02209A,"Beers, D.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31B', 'Mathematics 32A']}, 'corequisites': None}"
10711,MATH 32B,Mathematics 32B,MWF,10:00 am,10:50 am,KAPLAN,A00051,"Min, H.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31B', 'Mathematics 32A']}, 'corequisites': None}"
10718,MATH 32B,Mathematics 32B,MWF,02:00 pm,02:50 pm,BUNCHE,01209B,"Varvarezos, K.K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31B', 'Mathematics 32A']}, 'corequisites': None}"
10725,MATH 33A,Mathematics 33A,MWF,10:00 am,10:50 am,FRANZ,01178,"Yang, T.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 31B', 'Mathematics 32A', 'Mathematics 3B']}]}, 'corequisites': None}"
10732,MATH 33A,Mathematics 33A,MWF,11:00 am,11:50 am,BUNCHE,01209B,"Nienhaus, J.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 31B', 'Mathematics 32A', 'Mathematics 3B']}]}, 'corequisites': None}"
10739,MATH 33A,Mathematics 33A,MWF,01:00 pm,01:50 pm,BUNCHE,01209B,"Yeong, W.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 31B', 'Mathematics 32A', 'Mathematics 3B']}]}, 'corequisites': None}"
10746,MATH 33B,Mathematics 33B,MWF,09:00 am,09:50 am,BUNCHE,01209B,"Negrini, E.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31B']}, 'corequisites': None}"
10753,MATH 33B,Mathematics 33B,MWF,10:00 am,10:50 am,BUNCHE,02209A,"Zhao, Z.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31B']}, 'corequisites': None}"
10760,MATH 33B,Mathematics 33B,MWF,03:00 pm,03:50 pm,MS,04000A,"Marsden, K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31B']}, 'corequisites': None}"
10767,MATH 42,Mathematics 42,MWF,09:00 am,09:50 am,FRANZ,02258A,"Johnson, C.L.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A', 'Mathematics 31B', 'Mathematics 32A', 'Mathematics 32B', 'Mathematics 33A', {'type': 'OR', 'conditions': ['Statistics 10', 'Statistics 12']}, 'Statistics 13', {'type': 'OR', 'conditions': ['Statistics 20', 'Program in Computing 10A', 'Computer Science 31']}]}, 'corequisites': None}"
10770,MATH 61,Mathematics 61,MWF,10:00 am,10:50 am,BUNCHE,01209B,"Do, K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A', 'Mathematics 31B']}, 'corequisites': None}"
10777,MATH 61,Mathematics 61,MWF,12:00 pm,12:50 pm,BUNCHE,01209B,The Staff,"{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A', 'Mathematics 31B']}, 'corequisites': None}"
10784,MATH 70,Mathematics 70,MWF,03:00 pm,03:50 pm,MS,05127,"Nguyen, T.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A', 'Mathematics 31B']}, 'corequisites': None}"
10786,MATH 74XP,Mathematics 74XP,T,02:00 pm,03:50 pm,MS,06201,"Chan, H.H.",
10788,MATH 95,Mathematics 95,MWF,02:00 pm,02:50 pm,ROYCE,00160,The Staff,"{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32A', 'Mathematics 32B']}, 'corequisites': None}"
10790,MATH 105C,Mathematics 105C,MW,01:00 pm,02:50 pm,MS,06221,"Dallas, H.J.; Lopez, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 131A', {'type': 'OR', 'conditions': ['Mathematics 123']}, 'Mathematics 120A', {'type': 'OR', 'conditions': ['Mathematics 110A']}, 'Mathematics 117', 'Mathematics 105A', 'Mathematics 105B']}, 'corequisites': None}"
10791,MATH 106,Mathematics 106,MWF,10:00 am,10:50 am,MOORE,00100,"Keranen, J.P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 31A', 'Mathematics 31B', 'Mathematics 32A']}, 'corequisites': None}"
10798,MATH 110B,Mathematics 110B,MWF,02:00 pm,02:50 pm,GEOLOGY,04645,"Do, K.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 110A', 'Mathematics 117']}]}, 'corequisites': None}"
10800,MATH 110C,Mathematics 110C,MWF,11:00 am,11:50 am,GEOLOGY,04645,"Sharifi, R.T.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 110A', 'Mathematics 110B']}, 'corequisites': None}"
10801,MATH 110C,Mathematics 110C,W,04:00 pm,04:50 pm,GEOLOGY,04645,"Sharifi, R.T.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 110A', 'Mathematics 110B']}, 'corequisites': None}"
10803,MATH 111,Mathematics 111,MWF,02:00 pm,02:50 pm,BOELTER,02760,"Xu, P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 110A']}, 'corequisites': None}"
10805,MATH 114L,Mathematics 114L,MWF,10:00 am,10:50 am,GEOLOGY,04645,"Adkisson, W.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 110A', 'Mathematics 131A', 'Philosophy 135']}]}, 'corequisites': None}"
10807,MATH 115A,Mathematics 115A,MWF,09:00 am,09:50 am,MS,06229,"Opie, M.P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
10809,MATH 115A,Mathematics 115A,MWF,10:00 am,10:50 am,MS,06229,"Shin, B.Y.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
10811,MATH 115A,Mathematics 115A,MWF,11:00 am,11:50 am,MS,06229,The Staff,"{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
10813,MATH 115A,Mathematics 115A,MWF,12:00 pm,12:50 pm,MS,06229,The Staff,"{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
