course_id,full_course_id
BIOENGR 180,Bioengineering 180
BIOENGR C185,Bioengineering C185
BIOENGR C188,Bioengineering C188
BIOENGR 199,Bioengineering 199
BIOENGR C201,Bioengineering C201
BIOENGR C207,Bioengineering C207
BIOENGR M219,Bioengineering M219
BIOENGR 223B,Bioengineering 223B
BIOENGR 224A,Bioengineering 224A
BIOENGR M228,Bioengineering M228
BIOENGR M233A,Bioengineering M233A
BIOENGR C239A,Bioengineering C239A
BIOENGR CM240,Bioengineering CM240
BIOENGR M250B,Bioengineering M250B
BIOENGR C255,Bioengineering C255
BIOENGR M263,Bioengineering M263
BIOENGR C285,Bioengineering C285
BIOENGR 295A,Bioengineering 295A
BIOENGR 295D,Bioengineering 295D
BIOENGR 295E,Bioengineering 295E
BIOENGR 295F,Bioengineering 295F
BIOENGR 295G,Bioengineering 295G
BIOENGR 295H,Bioengineering 295H
BIOENGR 295K,Bioengineering 295K
BIOENGR 295L,Bioengineering 295L
BIOENGR 295M,Bioengineering 295M
BIOENGR 295N,Bioengineering 295N
BIOENGR 295O,Bioengineering 295O
BIOENGR 295P,Bioengineering 295P
BIOENGR 295Q,Bioengineering 295Q
BIOENGR 295R,Bioengineering 295R
BIOENGR 298,Bioengineering 298
BIOENGR 299,Bioengineering 299
BIOENGR 596,Bioengineering 596
BIOENGR 597A,Bioengineering 597A
BIOENGR 597B,Bioengineering 597B
BIOENGR 597C,Bioengineering 597C
BIOENGR 598,Bioengineering 598
BIOENGR 599,Bioengineering 599
BIOINFO 201,Bioinformatics 201
BIOINFO M223,Bioinformatics M223
BIOINFO 275A,Bioinformatics 275A
BIOINFO 275B,Bioinformatics 275B
BIOINFO 596,Bioinformatics 596
BIOINFO 597,Bioinformatics 597
BIOINFO 598,Bioinformatics 598
BIOINFO 599,Bioinformatics 599
BIOL CH 99,Biological Chemistry 99
BIOL CH M140,Biological Chemistry M140
BIOL CH 194,Biological Chemistry 194
BIOL CH 199,Biological Chemistry 199
BIOL CH 220B,Biological Chemistry 220B
BIOL CH 248,Biological Chemistry 248
BIOL CH 251B,Biological Chemistry 251B
BIOL CH M255,Biological Chemistry M255
