course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
FILIPNO 109,Asian Languages and Cultures 109,"{'type': 'AND', 'conditions': ['Filipino 6']}",T,09:30 am,10:45 am,PUB AFF,02319,"Domingo, N.P."
FILIPNO 109,Asian Languages and Cultures 109,"{'type': 'AND', 'conditions': ['Filipino 6']}",R,09:30 am,10:45 am,PUB AFF,02292,"Domingo, N.P."
HIN-URD 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Hindi-Urdu 1']}",TR,12:30 pm,01:45 pm,ROLFE,03126,"Farooque, S.A."
HIN-URD 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Hindi-Urdu 1']}",TR,02:00 pm,03:15 pm,ROYCE,00154,"Farooque, S.A."
HIN-URD 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Hindi-Urdu 100A']}",TR,09:30 am,10:45 am,HAINES,A00076,"Farooque, S.A."
INDO 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Indonesian 1']}",MW,11:00 am,12:15 pm,HAINES,A00028,"Wijaya, J."
INDO 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Indonesian 4']}",MW,09:30 am,10:45 am,HAINES,A00028,"Wijaya, J."
INDO 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Indonesian 4']}",F,10:00 am,10:50 am,ONLINE,00000LA,"Wijaya, J."
INDO 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Indonesian 100A']}",MW,02:00 pm,03:15 pm,HAINES,A00028,"Wijaya, J."
JAPAN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Japanese 1']}",TRF,09:00 am,09:50 am,POWELL,00320B,"Takeuchi, M.; Shigemori, A."
JAPAN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Japanese 1']}",TRF,10:00 am,10:50 am,POWELL,00320B,"Takeuchi, M.; Huang, P."
JAPAN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Japanese 1']}",TRF,11:00 am,11:50 am,POWELL,00320B,"Takeuchi, M.; Uchikawa, T."
JAPAN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Japanese 1']}",TRF,12:00 pm,12:50 pm,POWELL,00320B,"Takeuchi, M.; Uchikawa, T."
JAPAN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Japanese 1']}",TRF,09:00 am,09:50 am,POWELL,00307,"Gong, S.; Taylor, Y."
JAPAN 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Japanese 1']}",TRF,10:00 am,10:50 am,POWELL,00307,"Gong, S.; Taylor, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",TR,09:30 am,10:45 am,KAPLAN,A00048,"Nogami, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",F,09:00 am,09:50 am,ONLINE,00000LA,"Nogami, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",TR,11:00 am,12:15 pm,PUB AFF,02317,"Nogami, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",F,10:00 am,10:50 am,ONLINE,00000LA,"Nogami, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",M,11:00 am,12:15 pm,ROYCE,00190,"Kawanishi, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",W,11:00 am,12:15 pm,ROYCE,00154,"Kawanishi, Y."
JAPAN 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Japanese 4']}",F,11:00 am,11:50 am,ONLINE,00000LA,"Kawanishi, Y."
JAPAN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Japanese 100A']}",TR,09:00 am,09:50 am,PUB AFF,02317,"Takakura, A.H."
JAPAN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Japanese 100A']}",F,09:00 am,09:50 am,ONLINE,00000LA,"Takakura, A.H."
JAPAN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Japanese 100A']}",TR,10:00 am,10:50 am,PUB AFF,02317,"Takakura, A.H."
JAPAN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Japanese 100A']}",F,10:00 am,10:50 am,ONLINE,00000LA,"Takakura, A.H."
JAPAN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Japanese 100A']}",MW,01:00 pm,01:50 pm,HAINES,A00074,"Kawanishi, Y."
JAPAN 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Japanese 100A']}",F,01:00 pm,01:50 pm,ONLINE,00000LA,"Kawanishi, Y."
JAPAN 101B,Asian Languages and Cultures 101B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Japanese 100C', 'Japanese 100S']}]}",TR,12:30 pm,01:45 pm,PUB AFF,01264,"Nogami, Y."
JAPAN 130A,Asian Languages and Cultures 130A,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Japanese 100C', 'Japanese 100S']}]}",MW,12:30 pm,01:45 pm,BUNCHE,02160,"Smith, J.A."
JAPAN 154,Asian Languages and Cultures 154,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36', 'Comparative Literature 1A', 'Comparative Literature 1B', 'Comparative Literature 1C', 'Comparative Literature 1D']}]}",MW,02:00 pm,03:15 pm,BUNCHE,03164,"Smith, J.A."
KOREA 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 1']}]}",TR,11:00 am,12:15 pm,ROYCE,00164,"Ju, H."
KOREA 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 1']}]}",TR,12:30 pm,01:45 pm,ROYCE,00164,"Ju, H."
KOREA 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 1']}]}",TR,09:30 am,10:45 am,DODD,00078,"Mitsunaga, J.I."
KOREA 2A,Asian Languages and Cultures 2A,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 1A']}]}",TR,09:30 am,10:45 am,YRL,11630F,"Choi, J.B."
KOREA 2A,Asian Languages and Cultures 2A,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 1A']}]}",TR,11:00 am,12:15 pm,YRL,11630F,"Choi, J.B."
KOREA 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 4']}]}",TR,09:30 am,10:45 am,HAINES,A00028,"Jeon, S."
KOREA 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 4']}]}",F,09:00 am,09:50 am,ONLINE,00000LA,"Jeon, S."
